,English,Meaning
4013,please,give enjoyment to
4014,diabetes,a disease characterized by high glucose levels in the blood
4015,slap,a blow from a flat object (as an open hand)
4016,toxic,of or relating to or caused by a poison
4017,alleged,doubtful or suspect
4018,jaw,the part of the skull of a vertebrate that frames the mouth
4019,grief,intense sorrow caused by loss of a loved one
4020,mysterious,beyond ordinary understanding
4021,rocket,a jet engine containing its own propellant and driven by reaction propulsion
4022,donate,give to a charity or good cause
4023,inmate,a resident of a dwelling or institution
4024,tackle,seize and throw down an opponent player carrying the ball
4025,dynamics,mechanics concerned with forces that cause motions of bodies
4026,bow,something curved in shape
4027,senior,advanced in years
4028,dignity,the quality of being worthy of esteem or respect
4029,carpet,floor covering consisting of a piece of thick heavy fabric
4030,parental,relating to or characteristic of or befitting a parent
4031,bubble,"a hollow globule of gas (e.g., air or carbon dioxide)"
4032,heat,a form of energy transferred by a difference in temperature
4033,buddy,a close friend who accompanies his mates in their activities
4034,barn,an outlying farm building for grain and farm animals
4035,sword,a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard
4036,flash,emit a brief burst of light
4037,seventh,position seven in a countable series of things
4038,glory,a state of high honor
4039,tightly,in a tight or constricted manner
4040,protective,intended or adapted to provide safety of some kind
4041,tuck,make a tuck or several folds in
4042,drum,a musical percussion instrument
4043,faint,"lacking clarity, brightness, or loudness"
4044,post,piece of timber or metal fixed firmly in an upright position
4045,queen,a female sovereign ruler
4046,dilemma,state of uncertainty in a choice between unfavorable options
4047,input,signal going into an electronic system
4048,specialize,become more focused on an area of activity or field of study
4049,northeast,the direction corresponding to the northeastward compass point
4050,shallow,lacking physical depth
4051,liability,the state of being legally obliged and responsible
4052,sail,a large piece of fabric used to propel a vessel
4053,merchant,a businessperson engaged in retail trade
4054,stadium,a large structure for open-air sports or entertainments
4055,improved,become or made better in quality
4056,bloody,having or covered with or accompanied by blood
4057,defeat,an unsuccessful ending to a struggle or contest
4058,withdrawal,the act of pulling back
4059,refrigerator,appliance in which food can be stored at low temperatures
4060,nest,a structure in which animals lay eggs or give birth to their young
4061,near,near in time or place or relationship
4062,thoroughly,in an exhaustive manner
4063,lane,a narrow way or road
4064,ancestor,someone from whom you are descended
4065,condemn,express strong disapproval of
4066,steam,water at boiling temperature diffused in the atmosphere
4067,accent,special importance or significance
4068,escape,run away from confinement
4069,optimistic,hopeful that the best will happen in the future
4070,unite,join or combine
4071,cage,an enclosure in which animals can be kept
4072,equip,"provide with, usually for a specific purpose"
4073,shrimp,small slender-bodied chiefly marine decapod crustaceans with a long tail and single pair of pincers; many species are edible
4074,homeland,the country where you were born
4075,exchange,the act of changing one thing for another thing
4076,rack,a framework for holding objects
4077,costume,"attire characteristic of a country, time, or social class"
4078,wolf,any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs
4079,courtroom,a room in which a lawcourt sits
4080,statute,an act passed by a legislative body
4081,cartoon,a humorous or satirical drawing in a newspaper or magazine
4082,besides,in addition
4083,productivity,the quality of yielding positive results
4084,grin,draw the lips back into a smile or snarl
4085,symbolic,relating to or using arbitrary signs
4086,seal,fastener consisting of a resin that is plastic when warm
4087,bug,general term for any insect or similar creeping or crawling invertebrate
4088,bless,make the sign of the cross to call on God for protection
4089,aunt,a parent's sister; the wife of a parent's sibling
4090,agriculture,the practice of cultivating the land or raising stock
4091,rock,material consisting of the aggregate of minerals
4092,hostile,characterized by enmity or ill will
4093,root,underground plant organ that lacks buds or leaves or nodes
4094,conceive,have the idea for
4095,combined,made or joined or united into one
4096,instantly,without delay or hesitation; with no time intervening
4097,hay,grass mowed and cured for use as fodder
4098,vaccine,injection of weakened or dead microbes to create antibodies
4099,bonus,an additional payment (or other remuneration) to employees as a means of increasing output
4100,collaboration,act of working jointly
4101,mixed,consisting of a haphazard assortment of different kinds
4102,opposed,being resistant to
4103,orbit,the path of a celestial body in its revolution about another
4104,grasp,hold firmly
4105,patience,good-natured tolerance of delay or incompetence
4106,spite,meanness or nastiness
4107,tropical,relating to part of the Earth's surface with hot climate
4108,voting,a choice that is made by counting the number of people in favor of each alternative
4109,patrol,moving around an area to monitor and provide security
4110,willingness,cheerful compliance
4111,position,the particular part of space occupied by something
4112,revelation,the act of making something evident
4113,rent,a payment or series of payments made by a lessee to an owner
4114,calm,not agitated; without losing self-possession
4115,jewelry,an adornment made of precious metals and set with gems
4116,Cuban,of or relating to or characteristic of Cuba or the people of Cuba
4117,haul,draw slowly or heavily
4118,concede,give over
4119,trace,an indication that something has been present
4120,wagon,a wheeled vehicle drawn by an animal or a tractor
4121,afterward,happening at a time subsequent to a reference time
4122,spectacular,sensational in appearance or thrilling in effect
4123,ruin,an irrecoverable state of devastation and destruction
4124,sheer,so thin as to transmit light
4125,prior,earlier in time
4126,immune,of the condition in which an organism can resist disease
4127,reliability,the quality of being dependable
4128,ass,an animal that has longer ears and is smaller than a horse
4129,alongside,side by side
4130,bush,a woody perennial plant usually having several major stems
4131,exotic,characteristic of another place or part of the world
4132,fascinating,capable of arousing and holding the attention
4133,secure,free from danger or risk
4134,clip,a small fastener used to hold loose articles together
4135,thigh,the part of the leg between the hip and the knee
4136,bull,uncastrated adult male of domestic cattle
4137,drawer,a boxlike container in a piece of furniture
4138,regard,the condition of being honored or respected
4139,sheep,woolly usually horned ruminant mammal related to the goat
4140,discourage,try to prevent; show opposition to
4141,coordinator,someone whose task is to see that work goes harmoniously
4142,ideological,relating to the characteristic thinking of a group
4143,runner,someone who travels on foot by running
4144,secular,someone who is not a clergyman or a professional person
4145,intimate,"marked by close acquaintance, association, or familiarity"
4146,empire,the domain ruled by a single authoritative sovereign
4147,cab,a car whose driver is paid to take you to a particular place
4148,divorce,the legal dissolution of a marriage
4149,exam,a set of questions testing your skill or knowledge
4150,documentary,a film presenting the facts about a person or event
4151,neutral,having no personal preference
4152,biology,the science that studies living organisms
4153,flexible,able to bend easily
4154,progressive,favoring or promoting modern or innovative ideas
4155,web,an intricate network suggesting something that was formed by weaving or interweaving
4156,conspiracy,a plot to carry out some harmful or illegal act
4157,catch,take hold of so as to seize or stop the motion of
4158,casualty,someone injured or killed in an accident
4159,republic,a form of government whose head of state is not a monarch
4160,execution,putting a condemned person to death
4161,terrific,extraordinarily good or great
4162,whale,largest mammal with a streamlined body and a blowhole
4163,functional,designed for or capable of a particular use
4164,star,a celestial body of hot gases that radiates energy
4165,draft,a current of air
4166,instinct,inborn pattern of behavior often responsive to stimuli
4167,teammate,a fellow member of a team
4168,aluminum,a silvery ductile metallic element
4169,ministry,the work of a person authorized to conduct religious worship
4170,verdict,findings of a jury on issues submitted to it for decision
4171,instruct,impart skills or knowledge to
4172,skull,the bony skeleton of the head of vertebrates
4173,self-esteem,a feeling of pride in yourself
4174,ease,freedom from difficulty or hardship or effort
4175,cooperative,involving the joint activity of two or more
4176,manipulate,influence or control shrewdly or deviously
4177,bee,a hairy-bodied insect including social and solitary species
4178,practitioner,someone who carries out a learned profession
4179,loop,anything with a round or oval shape
4180,edit,prepare for publication or presentation by revising
4181,whip,an instrument with a handle and a flexible lash
4182,puzzle,be uncertain about
4183,mushroom,mushrooms and related fleshy fungi
4184,subsidy,"a grant of financial assistance, especially by a government"
4185,boil,change from a liquid to vapor
4186,tragic,"very sad, especially involving grief or death or destruction"
4187,mathematics,a science dealing with the logic of quantity and arrangement
4188,mechanic,a person who operates devices made to perform tasks
4189,jar,a vessel with a wide mouth and without handles
4190,respect,regard highly; think much of
4191,earthquake,vibration from underground movement along a fault plane
4192,pork,meat from a domestic hog or pig
4193,creativity,the ability to bring something into existence
4194,safely,in a manner unlikely to cause damage or harm
4195,underlying,in the nature of something though not readily apparent
4196,dessert,a dish served as the last course of a meal
4197,sympathy,"sharing the feelings of others, especially sorrow or anguish"
4198,fisherman,someone whose occupation is catching fish
4199,incredibly,exceedingly; extremely
4200,isolation,the act of setting something apart from others
4201,sock,hosiery consisting of a cloth covering for the foot
4202,near,near in time or place or relationship
4203,jump,move forward by leaps and bounds
4204,eleven,the cardinal number that is the sum of ten and one
4205,sexy,marked by or tending to arouse sensual desire or interest
4206,entrepreneur,someone who organizes a business venture
4207,syndrome,a pattern of symptoms indicative of some disease
4208,bureau,an administrative unit of government
4209,seat,any support where you can sit
4210,workplace,a place where work is done
4211,ambition,a strong drive for success
4212,touchdown,a goal worth six points in American football
4213,utilize,put into service
4214,breeze,a slight and usually refreshing wind
4215,costly,having a high price
4216,ambitious,having a strong desire for success or achievement
4217,Christianity,a monotheistic system of beliefs and practices based on the Old Testament and the teachings of Jesus as embodied in the New Testament and emphasizing the role of Jesus as savior
4218,presumably,by reasonable assumption
4219,influential,having or exercising power
4220,translation,rendering in another language with the same meaning
4221,uncertain,lacking or indicating lack of confidence or assurance
4222,dissolve,pass into a solution
4223,object,a tangible and visible entity
4224,statistical,of or relating to the interpretation of quantitative data
4225,gut,the part of the alimentary canal between the stomach and the anus
4226,metropolitan,relating to or characteristic of a large urban area
4227,rolling,propelling something on wheels
4228,aesthetic,characterized by an appreciation of beauty or good taste
4229,spell,write or name the letters that comprise the accepted form of
4230,insert,introduce
4231,booth,a small shop at a fair; for selling goods or entertainment
4232,helmet,a protective headgear made of hard material to resist blows
4233,waist,the narrowing of the body between the ribs and hips
4234,expected,considered likely or probable to happen or arrive
4235,lion,large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male
4236,accomplishment,the action of achieving something
4237,royal,"of or relating to a king, queen, or other monarch"
4238,panic,an overwhelming feeling of fear and anxiety
4239,cast,put or send forth
4240,crush,"compress with violence, out of natural shape or condition"
4241,actively,in a conscious or energetic manner
4242,cliff,a steep high face of rock
4243,minimal,the least possible
4244,cord,a line made of twisted fibers or threads
4245,fortunately,by good fortune
4246,cocaine,a narcotic extracted from coca leaves
4247,illusion,an erroneous mental representation
4248,anonymous,having no known name or identity or known source
4249,tolerate,put up with something or somebody unpleasant
4250,appreciation,understanding of the nature or meaning of something
4251,commissioner,a member of a special group considering some matter
4252,harm,any physical damage to the body caused by violence or accident or fracture etc.
4253,flexibility,the property of being easily bent or shaped
4254,instructional,of or relating to or used in instruction
4255,scramble,move hurriedly
4256,casino,a public building for gambling and entertainment
4257,tumor,an abnormal new mass of tissue that serves no purpose
4258,decorate,"make more attractive, as by adding ornament or color"
4259,sort,a category of things distinguished by some common characteristic or quality
4260,charge,"assign a duty, responsibility or obligation to"
4261,pulse,the rhythmic contraction and expansion of arteries
4262,equivalent,being essentially comparable to something
4263,fixed,unmoving
4264,experienced,having knowledge or skill from observation or participation
4265,donation,a voluntary gift made to some worthwhile cause
4266,diary,a daily written record of experiences and observations
4267,sibling,a person's brother or sister
4268,irony,incongruity between what might be expected and what occurs
4269,spoon,a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food
4270,midst,the location of something surrounded by other things
4271,alley,a narrow street with walls on both sides
4272,upset,cause to lose one's composure
4273,interact,do something together or with others
4274,soap,a cleansing agent made from the salts of vegetable or animal fats
4275,cute,attractive especially by means of smallness or prettiness
4276,rival,the contestant you hope to defeat
4277,short-term,relating to or extending over a limited period
4278,punch,deliver a quick blow to
4279,pin,a small slender (often pointed) piece of wood or metal used to support or fasten or attach things
4280,hockey,a game played on an ice rink by two opposing teams of six skaters each who try to knock a flat round puck into the opponents' goal with angled sticks
4281,passing,lasting a very short time
4282,persist,refuse to stop
4283,supplier,someone whose business is to supply a particular service or commodity
4284,known,apprehended with certainty
4285,momentum,the product of a body's mass and its velocity
4286,purse,a container used for carrying money and small personal items
4287,shed,cause or allow to flow or run out or over
4288,liquid,fluid matter having no fixed shape but a fixed volume
4289,icon,a visual representation produced on a surface
4290,elephant,five-toed pachyderm
4291,consequently,as a result
4292,legislature,"an assembly that makes, amends, or repeals laws"
4293,associate,bring or come into action
4294,franchise,a statutory right or privilege granted by a government
4295,correctly,in an accurate manner
4296,mentally,in your mind
4297,foster,providing nurture though not related by blood or legal ties
4298,bicycle,a vehicle that has two wheels and is moved by foot pedals
4299,encouraging,giving courage or confidence or hope
4300,cheat,defeat through trickery or deceit
4301,access,the right to enter
4302,heal,recover
4303,fever,an abnormal rise in the temperature of the body
4304,filter,device that removes something from what passes through it
4305,rabbit,any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food
4306,coin,a flat metal piece (usually a disc) used as money
4307,exploit,use or manipulate to one's advantage
4308,accessible,capable of being reached
4309,organism,a living thing that can act or function independently
4310,sensation,an awareness of some type of stimulation
4311,partially,in some degree; not wholly
4312,stay,"continue in a place, position, or situation"
4313,upstairs,on a floor above
4314,dried,not still wet
4315,minimum,the smallest possible quantity
4316,pro,an argument in favor of a proposal
4317,conservation,careful management of the environment and natural resources
4318,shove,come into rough contact with while moving
4319,backyard,the grounds in back of a house
4320,charter,a document creating an institution and specifying its rights
4321,stove,a kitchen appliance used for cooking food
4322,consent,give an affirmative reply to; respond favorably to
4323,comprise,be made of
4324,reminder,a message that helps you remember something
4325,alike,having the same or similar characteristics
4326,placement,the spatial property of the way in which something is placed
4327,dough,a flour mixture stiff enough to knead or roll
4328,grandchild,a child of your son or daughter
4329,dam,a barrier constructed to contain the flow of water
4330,reportedly,according to reports or other information
4331,well-known,widely or fully known
4332,surrounding,closely encircling
4333,ecological,characterized by the interdependence of living organisms
4334,outfit,a set of clothing
4335,unprecedented,novel; having no earlier occurrence
4336,columnist,a journalist who writes editorials
4337,workout,the activity of exerting your muscles in various ways to keep fit
4338,preliminary,preceding or in preparation for something more important
4339,patent,a document granting an inventor sole rights to an invention
4340,shy,timid and lacking self-confidence
4341,quote,repeat a passage from
4342,trash,worthless material that is to be disposed of
4343,disabled,people collectively who are crippled or otherwise physically handicapped
4344,gross,lacking fine distinctions or detail
4345,damn,something of little value
4346,hormone,the secretion of an endocrine gland transmitted by the blood
4347,texture,the feel of a surface or a fabric
4348,counter,a calculator recording the number of times something happens
4349,pencil,a thin cylindrical pointed writing implement
4350,associate,bring or come into action
4351,frontier,a wilderness at the edge of a settled area of a country
4352,spray,water in small drops in the atmosphere
4353,bet,stake on the outcome of an issue
4354,disclose,expose to view as by removing a cover
4355,custody,guardianship over
4356,banker,a financier who owns or is an executive in a bank
4357,beast,a living organism characterized by voluntary movement
4358,interfere,"get involved, so as to alter or hinder an action"
4359,oak,a deciduous tree of the genus Quercus
4360,case,an occurrence of something
4361,eighth,position eight in a countable series of things
4362,notebook,a book with blank pages for recording notes or memoranda
4363,outline,the line that appears to bound an object
4364,gaze,a long fixed look
4365,attendance,the act of being present at a meeting or event
4366,speculation,continuous contemplation on a subject of a deep nature
4367,uncover,make visible
4368,behalf,as the agent of or on someone's part
4369,innovative,introducing new ideas or creative methods
4370,shark,any of numerous elongate mostly marine carnivorous fishes with heterocercal caudal fins and tough skin covered with small toothlike scales
4371,reward,compensation for worthy acts or retribution for wrongdoing
4372,mill,a facility for manufacturing
4373,installation,the act of setting something up for use
4374,stimulate,cause to act in a specified manner
4375,tag,a small piece of cloth or paper
4376,vertical,at right angles to the plane of the horizon or a base line
4377,swimming,the act of swimming
4378,fleet,group of aircraft operating under the same ownership
4379,catalog,"a complete list of things, usually arranged systematically"
4380,outsider,someone who is excluded from or is not a member of a group
4381,sacrifice,the act of killing in order to appease a deity
4382,desperately,with great urgency
4383,stance,a rationalized mental attitude
4384,compel,force somebody to do something
4385,sensitivity,responsiveness to emotional feelings
4386,someday,some unspecified time in the future
4387,instant,a very short time
4388,debut,the act of beginning something new
4389,proclaim,declare formally
4390,worldwide,spanning or extending throughout the entire world
4391,hike,"walk a long way, as for pleasure or physical exercise"
4392,required,necessary by rule
4393,confrontation,discord resulting from a clash of ideas or opinions
4394,colorful,having color or a certain color
4395,ideal,a principle or value that one hopes to attain or conform to
4396,constitution,the act of forming or establishing something
4397,trainer,one who trains other persons or animals
4398,Thanksgiving,fourth Thursday in November in the United States
4399,scent,any property detected by the olfactory system
4400,stack,an orderly pile
4401,eyebrow,the arch of hair above each eye
4402,sack,a bag made of paper or plastic for holding purchases
4403,cease,put an end to a state or an activity
4404,inherit,receive from a predecessor
4405,tray,an open receptacle for holding or displaying or serving articles or food
4406,pioneer,one the first colonists or settlers in a new territory
4407,organizational,of or relating to an organization
4408,textbook,a book prepared for use in schools or colleges
4409,nasty,offensive or even (of persons) malicious
4410,shrink,"wither, as with a loss of moisture"
4411,model,"a representation of something, often on a smaller scale"
4412,emerging,coming into existence
4413,dot,a very small circular shape
4414,wheat,annual or biennial grass having erect flower spikes and light brown grains
4415,fierce,marked by extreme and violent energy
4416,envision,"imagine, conceive of, or see in one's mind"
4417,rational,consistent with or based on or using reason
4418,kingdom,the domain ruled by a monarch
4419,aisle,a long narrow passage (as in a cave or woods)
4420,weaken,lessen the strength of
4421,protocol,forms of ceremony and etiquette observed by officials
4422,exclusively,without any others being included or involved
4423,vocal,"music intended to be performed by one or more singers, usually with instrumental accompaniment"
4424,marketplace,an area in town where goods are set up for purchase
4425,openly,in an open way
4426,unfair,"marked by injustice, inequality, or bias"
4427,terrain,a piece of ground having specific characteristics
4428,deploy,place troops or weapons in battle formation
4429,risky,involving risk or danger
4430,pasta,shaped and dried dough made from flour and water and sometimes egg
4431,genre,a kind of literary or artistic work
4432,distract,draw someone's attention away from something
4433,merit,the quality of being deserving
4434,planner,a person who makes plans
4435,depressed,filled with melancholy and despondency
4436,chunk,a compact mass
4437,closest,within the shortest distance
4438,discount,an amount or percentage deducted
4439,no,quantifier
4440,ladder,steps consisting of two parallel members connected by rungs
4441,jungle,an impenetrable equatorial forest
4442,migration,the movement of persons from one locality to another
4443,breathing,the bodily process of inhalation and exhalation
4444,invade,march aggressively into a territory by military force
4445,hurricane,a severe tropical cyclone usually with heavy rains and winds
4446,retailer,a merchant who sells goods directly to consumers
4447,classify,arrange or order by categories
4448,wound,an injury to living tissue
4449,coup,a sudden and decisive change of government by force
4450,aid,the activity of contributing to the fulfillment of a need
4451,ambassador,a diplomat of the highest rank
4452,density,the amount per unit size
4453,supportive,furnishing assistance
4454,curiosity,a state in which you want to learn more about something
4455,skip,jump lightly
4456,aggression,a disposition to behave forcefully and energetically
4457,stimulus,any information or event that acts to arouse action
4458,journalism,the profession of reporting or editing news stories
4459,robot,a mechanism that can move automatically
4460,flood,the rising of a body of water and its overflowing onto land
4461,dip,"immerse briefly into a liquid so as to wet, coat, or saturate"
4462,likewise,in a similar manner
4463,informal,not in accord with established conventions and requirements
4464,Persian,of or relating to Iran or its people or language or culture
4465,feather,a light growth that makes up the covering of a bird's body
4466,sphere,a round three-dimensional closed surface
4467,tighten,make tight or tighter
4468,boast,talk about oneself with excessive pride or self-regard
4469,pat,hit lightly
4470,perceived,detected by instinct or inference
4471,sole,the underside of the foot
4472,publicity,a message issued in behalf of some product or cause or idea
4473,major,greater in scope or effect
4474,unfold,extend or stretch out to a greater or the full length
4475,joke,a humorous anecdote or remark intended to provoke laughter
4476,well-being,"a contented state of happiness, health, and prosperity"
4477,validity,the quality of being legitimate and rigorous
4478,ecosystem,organisms interacting with their physical environment
4479,strictly,in a stringent manner
4480,partial,being or affecting only a segment
4481,collar,a band that fits around the neck and is usually folded over
4482,weed,any plant that crowds out cultivated plants
4483,compliance,"the act of submitting, usually surrendering power to another"
4484,streak,a narrow marking of a different color from the background
4485,supposedly,believed or reputed to be the case
4486,builder,someone who contracts for and supervises construction
4487,glimpse,a brief or incomplete view
4488,premise,a statement that is held to be true
4489,specialty,an asset of special worth or utility
4490,deem,judge or regard in a particular way
4491,artifact,a man-made object
4492,sneak,to go stealthily or furtively
4493,monkey,any of various long-tailed primates
4494,mentor,a wise and trusted guide and advisor
4495,two-thirds,two of three equal parts of a divisible whole
4496,listener,someone who listens attentively
4497,lightning,flash of light from an electric discharge in the atmosphere
4498,legally,by law; conforming to the law
4499,sleeve,the part of a garment that is attached at the armhole and that provides a cloth covering for the arm
4500,disappointment,dissatisfaction when expectations are not realized
4501,disturb,trouble deeply
4502,rib,any of the 12 pairs of curved arches of bone extending from the spine to or toward the sternum in humans (and similar bones in most vertebrates)
4503,excessive,beyond normal limits
4504,high-tech,resembling or making use of highly advanced technology or devices
4505,debris,the remains of something that has been destroyed
4506,pile,a collection of objects laid on top of each other
4507,rod,a long thin implement made of metal or wood
4508,logical,based on known statements or events or conditions
4509,liberal,showing or characterized by broad-mindedness
4510,ash,the residue that remains when something is burned
4511,socially,by or with respect to society
4512,parish,a local church community
4513,slavery,the state of being in forced servitude to another person
4514,blank,(of a surface) not written or printed on
4515,commodity,any good that can be bought and sold
4516,cure,a medicine or therapy that treats disease or relieves pain
4517,mineral,a solid inorganic substance occurring in nature
4518,hunger,a physiological need for food
4519,dying,in the process of passing from life or ceasing to be
4520,developmental,of or relating to or constituting development
4521,faster,more quickly
4522,spare,"more than is needed, desired, or required"
4523,halfway,at half the distance; at the middle
4524,cure,a medicine or therapy that treats disease or relieves pain
4525,equality,"the quality of being the same in quantity, value, or status"
4526,cemetery,a tract of land used for burials
4527,harassment,the act of tormenting by persistent attacks and criticism
4528,deliberately,in a careful unhurried manner
4529,fame,the state or quality of being widely honored and acclaimed
4530,regret,feel sorry for; be contrite about
4531,striking,having a quality that thrusts itself into attention
4532,likelihood,the probability of a specified outcome
4533,carrot,perennial plant widely cultivated as an annual in many varieties for its long conical orange edible roots; temperate and tropical regions
4534,atop,"on, to, or at the top"
4535,toll,a fee levied for the use of roads or bridges
4536,rim,the shape of a raised edge of a more or less circular object
4537,embarrassed,feeling or caused to feel uneasy and self-conscious
4538,fucking,informal intensifiers
4539,cling,hold on tightly or tenaciously
4540,isolated,remote and separate physically or socially
4541,blink,a reflex that closes and opens the eyes rapidly
4542,suspicious,openly distrustful and unwilling to confide
4543,wheelchair,a movable chair mounted on large wheels
4544,squad,the smallest army unit
4545,eligible,qualified for or allowed or worthy of being chosen
4546,processor,someone who processes things
4547,plunge,dash violently or with great speed or impetuosity
4548,sponsor,an advocate who presents a person
4549,grin,draw the lips back into a smile or snarl
4550,color,a visual attribute of things from the light they emit
4551,demographic,a statistic characterizing human populations
4552,rain,water falling in drops from vapor in the atmosphere
4553,chill,coldness due to a cold environment
4554,refuge,something or someone turned to for assistance or security
4555,steer,be a guiding or motivating force or drive
4556,legislator,someone who makes or enacts laws
4557,rally,gather or bring together
4558,programming,setting an order and time for planned events
4559,cheer,a cry or shout of approval
4560,outlet,an opening that permits escape or release
4561,intact,undamaged in any way
4562,vendor,someone who exchanges goods or services for money
4563,thrive,make steady progress
4564,peanut,widely cultivated American plant cultivated in tropical and warm regions; showy yellow flowers on stalks that bend over to the soil so that seed pods ripen underground
4565,chew,chew (food); to bite and grind with the teeth
4566,elaborate,marked by complexity and richness of detail
4567,intellectual,of or associated with or requiring the use of the mind
4568,conception,the creation of something in the mind
4569,auction,the public sale of something to the highest bidder
4570,steak,a slice of meat cut from the fleshy part of an animal
4571,comply,"act in accordance with someone's rules, commands, or wishes"
4572,triumph,a successful ending of a struggle or contest
4573,shareholder,someone who owns stock in a corporation
4574,comparable,able to be described as similar
4575,transport,move something or somebody around
4576,conscience,motivation deriving from ethical or moral principles
4577,calculation,determination by mathematical or logical methods
4578,considerably,to a great extent or degree
4579,interval,the distance between things
4580,scratch,"cut, scrape, or wear away the surface of"
4581,awake,not in a state of sleep; completely conscious
4582,jurisdiction,the territory within which power can be exercised
4583,inevitably,in such a manner as could not be otherwise
4584,feminist,a supporter of equal rights for women
4585,constraint,the state of being physically limited
4586,emotionally,in an emotional manner
4587,expedition,an organized group of people undertaking a journey
4588,allegedly,according to what has been declared but not proved
4589,compromise,an accommodation in which both sides make concessions
4590,strain,exert much effort or energy
4591,similarity,the quality of being alike
4592,butt,the small unused part of something
4593,lid,"a movable top or cover (hinged or separate) for closing the opening at the top of a box, chest, jar, pan, etc."
4594,dumb,slow to learn or understand; lacking intellectual acuity
4595,bulk,the property possessed by a large mass
4596,sprinkle,scatter with liquid; wet lightly
4597,mortality,the quality or state of being subject to death
4598,philosophical,relating to the investigation of existence and knowledge
4599,conversion,the act of changing from one use or function to another
4600,patron,someone who supports or champions something
4601,municipal,relating to a self-governing district
4602,any,one or some or every or all without specification
4603,liver,large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes
4604,harmony,compatibility in opinion and action
4605,solely,without any others being included or involved
4606,tolerance,willingness to respect the beliefs or practices of others
4607,instant,a very short time
4608,goat,any of numerous agile ruminants related to sheep but having a beard and straight horns
4609,arm,a human limb
4610,blessing,a ceremonial prayer invoking divine protection
4611,banana,a treelike herb bearing hanging clusters of elongated fruits
4612,running,the act of running; traveling on foot at a fast pace
4613,palace,"the official home of a king, queen, or other exalted person"
4614,formerly,at a previous time
4615,peasant,one of a class of agricultural laborers
4616,neat,clean or organized
4617,grandparent,the mother or father of your father or mother
4618,lawmaker,a maker of laws; someone who gives a code of laws
4619,supermarket,a large self-service grocery store selling groceries and dairy products and household goods
4620,cruise,"travel about for pleasure, relaxation, or sightseeing"
4621,mobile,moving or capable of moving readily
4622,plain,simple
4623,part,one of the portions into which something is regarded as divided and which together constitute a whole
4624,calendar,a system of timekeeping that defines divisions of the year
4625,widow,"a woman whose husband is dead, especially if not remarried"
4626,deposit,the act of putting something somewhere
4627,beard,the hair growing on the lower part of a man's face
4628,brake,a restraint used to slow or stop a vehicle
4629,downtown,the central area or commercial center of a town or city
4630,screening,the display of a motion picture
4631,impulse,an impelling force or strength
4632,forbid,command against
4633,fur,dense coat of fine silky hairs on mammals
4634,brutal,resembling a beast; showing lack of human sensibility
4635,predator,any animal that lives by preying on other animals
4636,poke,thrust abruptly
4637,opt,select as an alternative over another
4638,voluntary,of your own free will or design
4639,trouble,a source of difficulty
4640,valid,well grounded in logic or truth or having legal force
4641,forum,a public facility to meet for open discussion
4642,dancing,taking a series of rhythmical steps in time to music
4643,happily,in a joyous manner
4644,soar,rise rapidly
4645,removal,the act of taking out or causing to leave
4646,autonomy,political independence
4647,enact,order by virtue of superior authority; decree
4648,round,having a circular shape
4649,thread,a fine cord of twisted fibers used in sewing and weaving
4650,light,electromagnetic radiation that can produce visual sensation
4651,landmark,a prominent or well-known object in a particular place
4652,unhappy,experiencing or marked by or causing sadness or sorrow or discontent
4653,offender,a person who transgresses moral or civil law
4654,coming,of the relatively near future
4655,privately,kept private or confined to those intimately concerned
4656,fraction,a small part or item forming a piece of a whole
4657,distinctive,of a feature that helps to identify a person or thing
4658,tourism,the business of providing services to travelers for pleasure
4659,threshold,the starting point for a new state or experience
4660,calm,not agitated; without losing self-possession
4661,routinely,according to established practice
4662,suite,the group following and attending to some important person
4663,remark,make or write a comment on
4664,regulator,"a device for controlling flow, pressure, temperature, etc."
4665,straw,plant fiber used e.g. for making baskets and hats or as fodder
4666,theological,of or relating to or concerning the study of religion
4667,apart,separated or at a distance in place or position or time
4668,exhaust,wear out completely
4669,globe,an object with a spherical shape
4670,fragile,easily broken or damaged or destroyed
4671,objection,the act of expressing earnest opposition or protest
4672,chemistry,the science of matter
4673,old-fashioned,out of fashion
4674,crowded,overfilled or compacted or concentrated
4675,circle,a plane curve with every point equidistant from the center
4676,blast,a sudden very loud noise
4677,prevail,"be larger in number, quantity, power, status or importance"
4678,overnight,during or for the length of one night
4679,denial,renunciation of one's own interests in favor of others
4680,rental,the act of paying for the use of something
4681,fantastic,"extravagantly fanciful in design, construction, appearance"
4682,fragment,a piece broken off or cut off of something else
4683,level,a relative position or degree of value in a graded group
4684,screw,a simple machine with a threaded cylindrical rod and hole
4685,warmth,the quality of having a moderate degree of heat
4686,undergraduate,a university student who has not yet received a first degree
4687,liquid,fluid matter having no fixed shape but a fixed volume
4688,headache,pain in the head
4689,policeman,a member of a police force
